,Title,Details,Cost,Descriptions,Attention Grabber
0,Tesla Model S 75D Auto 4WD 5dr,"2018 (18 reg)|Saloon|14,400 miles|333PS|Automatic|Electric|ULEZ","£55,875","This is a perfect opportunity to own a very rare, low mileage Tesla Model S with …",ADVANCED A PILOT+PAN+AERO PACK
1,Tesla Model S E 70D CVT 4x4 5dr,"2016 (16 reg)|Saloon|37,000 miles|329BHP|Automatic|Electric","£37,980","VAT Qualifying Vehicle, Over £7,000 Of Optional Extras, 1 Owner From New, …","PANROOF+21""ALLOYS+NEXTGEN SEAT"
2,Tesla Model S E P85D CVT 4x4 5dr (Nav),"2016 (65 reg)|Saloon|33,200 miles|691BHP|Automatic|Electric","£46,875",BLACK - BLACK LEATHER INTERIOR - 12 MONTHS WARRANTY - 12 MONTHS MOT - HPI CLEAR - …,HIGHWAY AUTOPILOT+SAT NAV+RCAM
3,Tesla Model S P100DL Auto 4WD 5dr (Ludicrous),"2016 (66 reg)|Saloon|28,608 miles|611PS|Automatic|Electric|ULEZ","£65,950","Blue, £65,950, Keyless Entry, Smart Air Suspension, Enhanced Autopilot, Black …",EXTENDED TESLA WARRANTY
4,Tesla Model S E P85D (515kw) CVT 4x4 5dr,"2014 (64 reg)|Saloon|41,275 miles|691BHP|Automatic|Electric|1 owner","£39,990","Keyless Entry & Start, Privacy Glass, Air Suspension, Tech Pack, Homelink, …","PAN ROOF|AIR SUSPENSION|21"""
5,Tesla Model S E 70 CVT 5dr (Nav),"2016 (16 reg)|Saloon|38,000 miles|382BHP|Automatic|Electric","£35,980","Over £4,400 Of Optional Extras, Finished In White Gloss with Next-Gen Tan leather …",AUTO PILOT+19ALLOY+TAN LEATHER
6,Tesla Model S E 85D CVT 4x4 5dr (Nav),"2015 (65 reg)|Saloon|20,000 miles|422BHP|Automatic|Electric","£41,980","1 Owner From New, Finished In Tesla Multi-Coat Red with Black Leather Upholstery, …","PAN ROOF+21""ALLOYS+SAT NAV"
7,Tesla Model S 75D Auto 4WD 5dr,"2018 (18 reg)|Saloon|28,400 miles|333PS|Automatic|Electric|ULEZ","£49,875","This is a perfect opportunity to own a very rare, low mileage Tesla Model S with …",ADVANCED A PILOT+PAN+AERO PACK
8,Tesla Model S 90D Auto 4WD 5dr,"2017 (67 reg)|Saloon|21,100 miles|423PS|Automatic|Electric|ULEZ","£53,875",PEARL WHITE - BLACK LEATHER INTERIOR - TESLA WARRANTY TILL DECEMBER 2022 - TESLA …,PAN+SUB ZERO PACKAGE+AUTOPILOT
9,Tesla Model S E 90D CVT 4x4 5dr (Nav),"2015 (65 reg)|Saloon|89,000 miles|422BHP|Automatic|Electric|3 owners","£38,950","21"" grey turbine alloys. Tesla Model S 90D. Battery upgraded from 85D to 90D by …",FREE SUPERCHARGING 90D UPGRADE
10,Tesla Model S 90D Auto 4WD 5dr,"2017 (67 reg)|Saloon|21,100 miles|423PS|Automatic|Electric|ULEZ","£53,875",PEARL WHITE - BLACK LEATHER INTERIOR - TESLA WARRANTY TILL DECEMBER 2022 - TESLA …,PAN+SUB ZERO PACKAGE+AUTOPILOT
11,Tesla Model S E P90D CVT 4x4 5dr (Nav),"2015 (65 reg)|Saloon|65,500 miles|691BHP|Automatic|Electric|1 owner","£39,750",Tesla Model S P90D - Performance package. Excellent condition. Free Tesla super …,Tesla Model S P90D
12,Tesla Model S 90D Auto 4WD 5dr,"2017 (17 reg)|Saloon|22,000 miles|423PS|Automatic|Electric|1 owner|ULEZ","£52,995",HUGE SPECIFICATION - FULL PANORAMIC SUNROOF - DUEL MOTOR - TRIPLE BLACK (BLACK …,VAT Q - BLACK EDITION
13,Tesla Model S 90D Auto 4WD 5dr,"2017 (67 reg)|Saloon|80,000 miles|423PS|Automatic|Electric|1 owner|ULEZ","£40,950","Tesla S90D, 2017(67reg), Black exterior, Black leather upholstery, 1owner, Free …",
14,Tesla Model S 75D Auto 4WD 5dr,"2016 (66 reg)|Saloon|54,000 miles|333PS|Automatic|Electric|2 owners|ULEZ","£37,995",Huge Specification 75D with over 16k of factory options as follows Red Multi-Coat …,"£16,000 of Factory Options"
15,Tesla Model S 90D Auto 4WD 5dr,"2017 (67 reg)|Saloon|23,000 miles|423PS|Automatic|Electric|Full dealership history|ULEZ","£54,698",OUR SHOWROOM IS OPEN AND ADHERING TO A STRICT SOCIAL DISTANCING POLICY IN LINE …,PANROOF+AUTOPILOT+EXT LEATHER
16,Tesla Model S 100D dual motor 5d AUTO HATCHBACK,"2017 (17 reg)|Saloon|52,523 miles|762BHP|Automatic|Electric|1 owner","£54,991",Glass Roof 360 Camera  Navigation  Bluetooth  Cruise Control  White Leather  …,Clean Example - Great Spec!!
17,Tesla Model S 90D - MASSIVE SPEC 5dr,"2017 (67 reg)|Saloon|19,530 miles|423PS|Automatic|Electric|ULEZ","£54,949","Enhanced Autopilot, Sub Zero Weather Pack, Premium Black Leather Seats, Carbon …",MASSIVE SPECIFICATION
18,Tesla Model S 0.0 P85D 5d 761 BHP HIGH SPEC! TESLA WARRANTY!,"2015 (65 reg)|Saloon|33,508 miles|691BHP|Automatic|Electric","£45,450",This vehicle has been AA Inspected and Road tested. TESLA EXTENDED WARRANTY! FULL …,AA INSPECTED+AA WARRANTY!
19,Tesla Model S E P85D CVT 4x4 5dr (Nav),"2015 (65 reg)|Saloon|63,000 miles|691BHP|Automatic|Electric","£42,885",NEW IN STOCK - BLACK - PART LEATHER INTERIOR - 12 MONTHS WARRANTY - 12 MONTHS MOT …,19s+SAT NAV+RCAM+H/SEATS
20,Tesla Model S E 85 CVT 5dr (Nav),"2014 (14 reg)|Saloon|96,000 miles|362BHP|Automatic|Electric|3 owners","£34,495","P85, 423BHP, Air Suspension, FREE SUPERCHARGING for life! Performance  model with …","P85, 423BHP, Air Susp, Carbon"
21,Tesla Model S 75D Auto 4WD 5dr,"2018 (18 reg)|Saloon|28,400 miles|333PS|Automatic|Electric|1 owner|ULEZ","£49,875","This is a perfect opportunity to own a very rare, low mileage Tesla Model S with …",ADVANCED A PILOT+PAN+AERO PACK
22,Tesla Model S E 85 CVT 5dr,"2014 (14 reg)|Saloon|94,000 miles|362BHP|Automatic|Electric|2 owners","£31,500",This Tesla was purchased to commute to work and as a family car just before Covid …,"7 Seats, well cared for EV"
23,Tesla Model S Performance Auto 4WD 5dr (Ludicrous),"2016 (66 reg)|Saloon|120,000 miles|611PS|Automatic|Electric|1 owner|Full service history|ULEZ","£43,995","750bhp This is the P90DL LUDRICOUS PLUS, Warranty till 2024 absolute superb P90DL …",£125k New LUDICROUS PLUS
24,Tesla Model S 245kW 70kWh Dual Motor 5dr [Nav],"2016 (16 reg)|Saloon|37,705 miles|329BHP|Automatic|Electric|1 owner","£37,489",- WILSONS ARE OPEN FOR ONLINE NEW & USED CAR SALES - Our team is working online …,AUTO PILOT | NEXT GEN SEATS
25,Tesla Model S 75D Executive Edition Auto 4WD 5dr,"2017 (17 reg)|Saloon|26,000 miles|333PS|Automatic|Electric|ULEZ","£54,750",Final price. No offers I'm sorry. Here we have my pride and joy which has been …,Free unlimited Supercharging
