,Title,Details,Cost,Descriptions,Attention Grabber
0,Tesla Model S 90D Auto 4WD 5dr,"2017 (67 reg)|Saloon|80,000 miles|423PS|Automatic|Electric|1 owner|ULEZ","£40,950","Tesla S90D, 2017(67reg), Black exterior, Black leather upholstery, 1owner, Free …",
1,Tesla Model S E P85D CVT 4x4 5dr (Nav),"2016 (65 reg)|Saloon|33,200 miles|691BHP|Automatic|Electric","£46,875",BLACK - BLACK LEATHER INTERIOR - 12 MONTHS WARRANTY - 12 MONTHS MOT - HPI CLEAR - …,HIGHWAY AUTOPILOT+SAT NAV+RCAM
2,Tesla Model S E P90D CVT 4x4 5dr (Nav),"2015 (65 reg)|Saloon|65,500 miles|691BHP|Automatic|Electric|1 owner","£39,750",Tesla Model S P90D - Performance package. Excellent condition. Free Tesla super …,Tesla Model S P90D
3,Tesla Model S E 90D CVT 4x4 5dr (Nav),"2016 (16 reg)|Saloon|90,000 miles|422BHP|Automatic|Electric|1 owner|Full service history","£39,970","Beautiful condition, Tesla Model S in blue with premium interior, black leather …",Lifetime Tesla Supercharging
4,Tesla Model S E 90D CVT 4x4 5dr (Nav),"2015 (65 reg)|Saloon|89,000 miles|422BHP|Automatic|Electric|3 owners","£38,950","21"" grey turbine alloys. Tesla Model S 90D. Battery upgraded from 85D to 90D by …",FREE SUPERCHARGING 90D UPGRADE
5,Tesla Model S 90D Auto 4WD 5dr,"2017 (17 reg)|Saloon|22,000 miles|423PS|Automatic|Electric|1 owner|ULEZ","£52,995",HUGE SPECIFICATION - FULL PANORAMIC SUNROOF - DUEL MOTOR - TRIPLE BLACK (BLACK …,VAT Q - BLACK EDITION
6,Tesla Model S 100D Auto 4WD 5dr,"2018 (67 reg)|Saloon|27,000 miles|423PS|Automatic|Electric|ULEZ","£62,875","Excellent bodywork, Black Full leather interior - Excellent Condition, Tyre …",
7,Tesla Model S 75D Executive Edition Auto 4WD 5dr,"2017 (17 reg)|Saloon|26,000 miles|333PS|Automatic|Electric|ULEZ","£54,750",Final price. No offers I'm sorry. Here we have my pride and joy which has been …,Free unlimited Supercharging
8,Tesla Model S E 85 CVT 5dr,"2014 (14 reg)|Saloon|94,000 miles|362BHP|Automatic|Electric|2 owners","£31,500",This Tesla was purchased to commute to work and as a family car just before Covid …,"7 Seats, well cared for EV"
9,Tesla Model S 90D - MASSIVE SPEC 5dr,"2017 (67 reg)|Saloon|19,530 miles|423PS|Automatic|Electric|ULEZ","£54,949","Enhanced Autopilot, Sub Zero Weather Pack, Premium Black Leather Seats, Carbon …",MASSIVE SPECIFICATION
10,Tesla Tesla Model S E P85 (350kw) CVT 5d,"2014 (64 reg)|Saloon|41,200 miles|Automatic|Electric|1 owner","£39,990","1 Owner, Keyless Entry & Start, Privacy Glass, Air Suspension, Tech Pack, …",PAN ROOF/HUGE SPEC/CF SPOILER
